time,bias,condition,topic,bias_diff
1,0.857,Original,Partisan Alignment,
2,0.934,Original,Partisan Alignment,
3,1.045,Original,Partisan Alignment,
4,1.129,Original,Partisan Alignment,
5,1.201,Original,Partisan Alignment,
6,1.268,Original,Partisan Alignment,0.08220000000000001
7,1.305,Original,Partisan Alignment,0.07419999999999997
8,1.315,Original,Partisan Alignment,0.054000000000000006
9,1.317,Original,Partisan Alignment,0.03759999999999999
10,1.349,Original,Partisan Alignment,0.02959999999999998
11,1.34,Original,Partisan Alignment,0.014400000000000013
12,1.341,Original,Partisan Alignment,0.007200000000000007
13,1.343,Original,Partisan Alignment,0.005600000000000005
14,1.343,Original,Partisan Alignment,0.005200000000000005
15,1.376,Original,Partisan Alignment,0.005399999999999983
16,1.36,Original,Partisan Alignment,0.0040000000000000036
17,1.373,Original,Partisan Alignment,0.0064000000000000055
18,1.375,Original,Partisan Alignment,0.0064000000000000055
19,1.385,Original,Partisan Alignment,0.008400000000000008
20,1.395,Original,Partisan Alignment,0.0038000000000000256
21,1.403,Original,Partisan Alignment,0.008599999999999986
22,1.421,Original,Partisan Alignment,0.009600000000000008
23,1.438,Original,Partisan Alignment,0.01259999999999999
24,1.443,Original,Partisan Alignment,0.01160000000000001
25,1.445,Original,Partisan Alignment,0.010000000000000009
26,1.437,Original,Partisan Alignment,0.006800000000000006
27,1.445,Original,Partisan Alignment,0.004800000000000004
28,1.438,Original,Partisan Alignment,0.0
29,1.457,Original,Partisan Alignment,0.0028000000000000026
30,1.449,Original,Partisan Alignment,0.0008000000000000007
31,1.456,Original,Partisan Alignment,0.0037999999999999813
32,1.461,Original,Partisan Alignment,0.0032000000000000028
33,1.469,Original,Partisan Alignment,0.0062000000000000275
34,1.464,Original,Partisan Alignment,0.001399999999999979
35,1.472,Original,Partisan Alignment,0.004599999999999982
36,1.477,Original,Partisan Alignment,0.004200000000000026
37,1.466,Original,Partisan Alignment,0.0009999999999999788
38,1.474,Original,Partisan Alignment,0.0009999999999999788
39,1.476,Original,Partisan Alignment,0.002400000000000002
40,1.463,Original,Partisan Alignment,-0.0017999999999999794
41,1.476,Original,Partisan Alignment,-0.00020000000000002237
1,0.824,Debiased,Partisan Alignment,
2,0.863,Debiased,Partisan Alignment,
3,0.922,Debiased,Partisan Alignment,
4,1.005,Debiased,Partisan Alignment,
5,1.087,Debiased,Partisan Alignment,
6,1.115,Debiased,Partisan Alignment,0.05820000000000001
7,1.16,Debiased,Partisan Alignment,0.05939999999999999
8,1.19,Debiased,Partisan Alignment,0.05359999999999998
9,1.218,Debiased,Partisan Alignment,0.04260000000000001
10,1.196,Debiased,Partisan Alignment,0.021799999999999996
11,1.205,Debiased,Partisan Alignment,0.018000000000000016
12,1.224,Debiased,Partisan Alignment,0.012800000000000011
13,1.234,Debiased,Partisan Alignment,0.008800000000000007
14,1.221,Debiased,Partisan Alignment,0.0006000000000000227
15,1.213,Debiased,Partisan Alignment,0.0034000000000000254
16,1.228,Debiased,Partisan Alignment,0.004599999999999982
17,1.231,Debiased,Partisan Alignment,0.0014000000000000234
18,1.246,Debiased,Partisan Alignment,0.002400000000000002
19,1.238,Debiased,Partisan Alignment,0.0033999999999999807
20,1.233,Debiased,Partisan Alignment,0.0040000000000000036
21,1.241,Debiased,Partisan Alignment,0.0026000000000000246
22,1.25,Debiased,Partisan Alignment,0.0037999999999999813
23,1.246,Debiased,Partisan Alignment,0.0
24,1.263,Debiased,Partisan Alignment,0.004999999999999982
25,1.263,Debiased,Partisan Alignment,0.005999999999999961
26,1.268,Debiased,Partisan Alignment,0.005399999999999983
27,1.271,Debiased,Partisan Alignment,0.0041999999999999815
28,1.265,Debiased,Partisan Alignment,0.0037999999999999813
29,1.275,Debiased,Partisan Alignment,0.002400000000000002
30,1.278,Debiased,Partisan Alignment,0.0030000000000000248
31,1.288,Debiased,Partisan Alignment,0.0040000000000000036
32,1.284,Debiased,Partisan Alignment,0.0026000000000000246
33,1.305,Debiased,Partisan Alignment,0.008000000000000007
34,1.304,Debiased,Partisan Alignment,0.005800000000000027
35,1.295,Debiased,Partisan Alignment,0.0033999999999999807
36,1.295,Debiased,Partisan Alignment,0.001399999999999979
37,1.295,Debiased,Partisan Alignment,0.0021999999999999797
38,1.291,Debiased,Partisan Alignment,-0.0028000000000000026
39,1.295,Debiased,Partisan Alignment,-0.0018000000000000238
40,1.288,Debiased,Partisan Alignment,-0.001399999999999979
41,1.292,Debiased,Partisan Alignment,-0.0005999999999999784
1,0.803,Original,Gun Control,
2,1.014,Original,Gun Control,
3,1.148,Original,Gun Control,
4,1.243,Original,Gun Control,
5,1.282,Original,Gun Control,
6,1.284,Original,Gun Control,0.0962
7,1.303,Original,Gun Control,0.05779999999999998
8,1.322,Original,Gun Control,0.03480000000000003
9,1.327,Original,Gun Control,0.01679999999999997
10,1.339,Original,Gun Control,0.011399999999999988
11,1.356,Original,Gun Control,0.014400000000000013
12,1.37,Original,Gun Control,0.013400000000000033
13,1.374,Original,Gun Control,0.01040000000000001
14,1.379,Original,Gun Control,0.01040000000000001
15,1.388,Original,Gun Control,0.009799999999999986
16,1.403,Original,Gun Control,0.009399999999999986
17,1.405,Original,Gun Control,0.006999999999999984
18,1.423,Original,Gun Control,0.009799999999999986
19,1.438,Original,Gun Control,0.011799999999999988
20,1.463,Original,Gun Control,0.015000000000000036
21,1.477,Original,Gun Control,0.014800000000000013
22,1.479,Original,Gun Control,0.014800000000000013
23,1.478,Original,Gun Control,0.010999999999999987
24,1.473,Original,Gun Control,0.007000000000000029
25,1.482,Original,Gun Control,0.0037999999999999813
26,1.496,Original,Gun Control,0.0037999999999999813
27,1.495,Original,Gun Control,0.0032000000000000028
28,1.503,Original,Gun Control,0.004999999999999982
29,1.495,Original,Gun Control,0.004400000000000004
30,1.498,Original,Gun Control,0.0032000000000000028
31,1.502,Original,Gun Control,0.001200000000000001
32,1.503,Original,Gun Control,0.001599999999999957
33,1.519,Original,Gun Control,0.0032000000000000028
34,1.532,Original,Gun Control,0.007399999999999985
35,1.538,Original,Gun Control,0.008000000000000007
36,1.54,Original,Gun Control,0.007600000000000007
37,1.537,Original,Gun Control,0.006800000000000006
38,1.561,Original,Gun Control,0.008400000000000008
39,1.559,Original,Gun Control,0.005399999999999983
40,1.568,Original,Gun Control,0.006000000000000005
41,1.582,Original,Gun Control,0.008400000000000008
1,0.805,Debiased,Gun Control,
2,0.944,Debiased,Gun Control,
3,1.09,Debiased,Gun Control,
4,1.195,Debiased,Gun Control,
5,1.259,Debiased,Gun Control,
6,1.287,Debiased,Gun Control,0.09639999999999997
7,1.306,Debiased,Gun Control,0.07240000000000002
8,1.333,Debiased,Gun Control,0.04859999999999998
9,1.361,Debiased,Gun Control,0.033199999999999986
10,1.374,Debiased,Gun Control,0.02300000000000004
11,1.399,Debiased,Gun Control,0.02240000000000002
12,1.409,Debiased,Gun Control,0.020599999999999997
13,1.423,Debiased,Gun Control,0.018000000000000016
14,1.422,Debiased,Gun Control,0.012199999999999989
15,1.434,Debiased,Gun Control,0.011999999999999966
16,1.436,Debiased,Gun Control,0.007399999999999985
17,1.446,Debiased,Gun Control,0.007399999999999985
18,1.448,Debiased,Gun Control,0.004999999999999982
19,1.454,Debiased,Gun Control,0.0064000000000000055
20,1.469,Debiased,Gun Control,0.007000000000000029
21,1.491,Debiased,Gun Control,0.011000000000000032
22,1.495,Debiased,Gun Control,0.009800000000000031
23,1.499,Debiased,Gun Control,0.010200000000000032
24,1.515,Debiased,Gun Control,0.012199999999999989
25,1.521,Debiased,Gun Control,0.010399999999999965
26,1.533,Debiased,Gun Control,0.008399999999999963
27,1.533,Debiased,Gun Control,0.007599999999999963
28,1.533,Debiased,Gun Control,0.0067999999999999615
29,1.519,Debiased,Gun Control,0.0008000000000000007
30,1.531,Debiased,Gun Control,0.0020000000000000018
31,1.543,Debiased,Gun Control,0.0020000000000000018
32,1.536,Debiased,Gun Control,0.0006000000000000227
33,1.536,Debiased,Gun Control,0.0006000000000000227
34,1.526,Debiased,Gun Control,0.0014000000000000234
35,1.522,Debiased,Gun Control,-0.0017999999999999794
36,1.53,Debiased,Gun Control,-0.00259999999999998
37,1.523,Debiased,Gun Control,-0.0026000000000000246
38,1.523,Debiased,Gun Control,-0.0026000000000000246
39,1.528,Debiased,Gun Control,0.00040000000000000034
40,1.525,Debiased,Gun Control,0.0005999999999999784
41,1.527,Debiased,Gun Control,-0.0006000000000000227
