temperature,experiment_folder,timestep,homophilic_interaction,polarization
Temperature=0.5,Exp1,0,0.165,0.82
Temperature=0.5,Exp1,1,0.175,0.89
Temperature=0.5,Exp1,2,0.215,0.92
Temperature=0.5,Exp1,3,0.255,0.99
Temperature=0.5,Exp1,4,0.295,1.12
Temperature=0.5,Exp1,5,0.3525,1.2
Temperature=0.5,Exp1,6,0.3725,1.19
Temperature=0.5,Exp1,7,0.40100250626566414,1.19
Temperature=0.5,Exp1,8,0.40100250626566414,1.23
Temperature=0.5,Exp1,9,0.4775,1.31
Temperature=0.5,Exp1,10,0.505,1.34
Temperature=0.5,Exp1,11,0.505,1.32
Temperature=0.5,Exp1,12,0.5125,1.35
Temperature=0.5,Exp1,13,0.5125,1.33
Temperature=0.5,Exp1,14,0.525,1.33
Temperature=0.5,Exp1,15,0.5363408521303258,1.36
Temperature=0.5,Exp1,16,0.5513784461152882,1.39
Temperature=0.5,Exp1,17,0.556390977443609,1.38
Temperature=0.5,Exp1,18,0.5639097744360902,1.4
Temperature=0.5,Exp1,19,0.5664160401002506,1.39
Temperature=0.5,Exp1,20,0.5864661654135338,1.45
Temperature=0.5,Exp1,21,0.5843828715365239,1.43
Temperature=0.5,Exp1,22,0.6020151133501259,1.45
Temperature=0.5,Exp1,23,0.6313131313131313,1.47
Temperature=0.5,Exp1,24,0.6439393939393939,1.49
Temperature=0.5,Exp1,25,0.6759493670886076,1.53
Temperature=0.5,Exp1,26,0.6784810126582278,1.53
Temperature=0.5,Exp1,27,0.6860759493670886,1.51
Temperature=0.5,Exp1,28,0.6759493670886076,1.49
Temperature=0.5,Exp1,29,0.6784810126582278,1.52
Temperature=0.5,Exp1,30,0.6784810126582278,1.54
Temperature=0.5,Exp1,31,0.6979695431472082,1.55
Temperature=0.5,Exp1,32,0.6979695431472082,1.55
Temperature=0.5,Exp1,33,0.6852791878172588,1.53
Temperature=0.5,Exp1,34,0.6928934010152284,1.56
Temperature=0.5,Exp1,35,0.7106598984771574,1.56
Temperature=0.5,Exp1,36,0.7131979695431472,1.57
Temperature=0.5,Exp1,37,0.7131979695431472,1.59
Temperature=0.5,Exp1,38,0.7131979695431472,1.6
Temperature=0.5,Exp1,39,0.7131979695431472,1.61
Temperature=0.5,Exp1,40,0.7284263959390863,1.62
Temperature=1.0,Abortion_original,0,0.185,0.81
Temperature=1.0,Abortion_original,1,0.2,0.96
Temperature=1.0,Abortion_original,2,0.245,1.07
Temperature=1.0,Abortion_original,3,0.2907268170426065,1.19
Temperature=1.0,Abortion_original,4,0.3,1.21
Temperature=1.0,Abortion_original,5,0.3383458646616541,1.24
Temperature=1.0,Abortion_original,6,0.38190954773869346,1.31
Temperature=1.0,Abortion_original,7,0.41708542713567837,1.33
Temperature=1.0,Abortion_original,8,0.4659949622166247,1.46
Temperature=1.0,Abortion_original,9,0.5239294710327456,1.52
Temperature=1.0,Abortion_original,10,0.5491183879093199,1.58
Temperature=1.0,Abortion_original,11,0.5656565656565656,1.58
Temperature=1.0,Abortion_original,12,0.5591939546599496,1.55
Temperature=1.0,Abortion_original,13,0.5969773299748111,1.58
Temperature=1.0,Abortion_original,14,0.6045340050377834,1.59
Temperature=1.0,Abortion_original,15,0.6171284634760705,1.62
Temperature=1.0,Abortion_original,16,0.6171284634760705,1.62
Temperature=1.0,Abortion_original,17,0.6448362720403022,1.65
Temperature=1.0,Abortion_original,18,0.6599496221662469,1.66
Temperature=1.0,Abortion_original,19,0.73989898989899,1.76
Temperature=1.0,Abortion_original,20,0.7525252525252525,1.75
Temperature=1.0,Abortion_original,21,0.7702020202020202,1.83
Temperature=1.0,Abortion_original,22,0.7878787878787878,1.85
Temperature=1.0,Abortion_original,23,0.8,1.84
Temperature=1.0,Abortion_original,24,0.8126582278481013,1.87
Temperature=1.0,Abortion_original,25,0.8324873096446701,1.85
Temperature=1.0,Abortion_original,26,0.8324873096446701,1.84
Temperature=1.0,Abortion_original,27,0.8350253807106599,1.84
Temperature=1.0,Abortion_original,28,0.8350253807106599,1.84
Temperature=1.0,Abortion_original,29,0.8401015228426396,1.84
Temperature=1.0,Abortion_original,30,0.8401015228426396,1.86
Temperature=1.0,Abortion_original,31,0.8451776649746193,1.86
Temperature=1.0,Abortion_original,32,0.8477157360406091,1.86
Temperature=1.0,Abortion_original,33,0.8527918781725888,1.86
Temperature=1.0,Abortion_original,34,0.8553299492385786,1.85
Temperature=1.0,Abortion_original,35,0.8604060913705583,1.86
Temperature=1.0,Abortion_original,36,0.868020304568528,1.86
Temperature=1.0,Abortion_original,37,0.8753180661577609,1.85
Temperature=1.0,Abortion_original,38,0.8829516539440203,1.86
Temperature=1.0,Abortion_original,39,0.8829516539440203,1.86
Temperature=1.0,Abortion_original,40,0.8880407124681934,1.87
Temperature=1.5,Exp1_temp1.5,0,0.19,0.82
Temperature=1.5,Exp1_temp1.5,1,0.21,0.91
Temperature=1.5,Exp1_temp1.5,2,0.235,0.93
Temperature=1.5,Exp1_temp1.5,3,0.28,1.06
Temperature=1.5,Exp1_temp1.5,4,0.3233082706766917,1.24
Temperature=1.5,Exp1_temp1.5,5,0.3793969849246231,1.27
Temperature=1.5,Exp1_temp1.5,6,0.3793969849246231,1.3
Temperature=1.5,Exp1_temp1.5,7,0.4120603015075377,1.31
Temperature=1.5,Exp1_temp1.5,8,0.4393939393939394,1.42
Temperature=1.5,Exp1_temp1.5,9,0.4481012658227848,1.39
Temperature=1.5,Exp1_temp1.5,10,0.5176767676767676,1.51
Temperature=1.5,Exp1_temp1.5,11,0.5468354430379747,1.57
Temperature=1.5,Exp1_temp1.5,12,0.5544303797468354,1.56
Temperature=1.5,Exp1_temp1.5,13,0.5645569620253165,1.62
Temperature=1.5,Exp1_temp1.5,14,0.5924050632911393,1.62
Temperature=1.5,Exp1_temp1.5,15,0.6075949367088608,1.65
Temperature=1.5,Exp1_temp1.5,16,0.6106870229007634,1.64
Temperature=1.5,Exp1_temp1.5,17,0.6463104325699746,1.66
Temperature=1.5,Exp1_temp1.5,18,0.7081218274111675,1.73
Temperature=1.5,Exp1_temp1.5,19,0.7157360406091371,1.73
Temperature=1.5,Exp1_temp1.5,20,0.7461928934010152,1.76
Temperature=1.5,Exp1_temp1.5,21,0.7588832487309645,1.78
Temperature=1.5,Exp1_temp1.5,22,0.7817258883248731,1.77
Temperature=1.5,Exp1_temp1.5,23,0.7918781725888325,1.8
Temperature=1.5,Exp1_temp1.5,24,0.806615776081425,1.83
Temperature=1.5,Exp1_temp1.5,25,0.8193384223918575,1.8
Temperature=1.5,Exp1_temp1.5,26,0.8269720101781171,1.8
Temperature=1.5,Exp1_temp1.5,27,0.8346055979643766,1.83
Temperature=1.5,Exp1_temp1.5,28,0.8443877551020408,1.83
Temperature=1.5,Exp1_temp1.5,29,0.8494897959183674,1.84
Temperature=1.5,Exp1_temp1.5,30,0.8524173027989822,1.84
Temperature=1.5,Exp1_temp1.5,31,0.8778625954198473,1.85
Temperature=1.5,Exp1_temp1.5,32,0.8871794871794871,1.86
Temperature=1.5,Exp1_temp1.5,33,0.8871794871794871,1.86
Temperature=1.5,Exp1_temp1.5,34,0.8974358974358975,1.85
Temperature=1.5,Exp1_temp1.5,35,0.9023136246786633,1.85
Temperature=1.5,Exp1_temp1.5,36,0.910025706940874,1.88
Temperature=1.5,Exp1_temp1.5,37,0.8997429305912596,1.85
Temperature=1.5,Exp1_temp1.5,38,0.8997429305912596,1.84
Temperature=1.5,Exp1_temp1.5,39,0.9048843187660668,1.85
Temperature=1.5,Exp1_temp1.5,40,0.9048843187660668,1.86
